IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
BOGUMIŁA,KOBIETA,56474
GENOWEFA,KOBIETA,55547
OLGA,KOBIETA,55163
SANDRA,KOBIETA,53881
ILONA,KOBIETA,51974
MICHALINA,KOBIETA,51968
HENRYKA,KOBIETA,49798
NADIA,KOBIETA,48801
JÓZEFA,KOBIETA,48592
MARLENA,KOBIETA,48458
SABINA,KOBIETA,48155
BOGUSŁAWA,KOBIETA,48151
STEFANIA,KOBIETA,47540
KORNELIA,KOBIETA,47230
ŁUCJA,KOBIETA,46978
ANITA,KOBIETA,45356
REGINA,KOBIETA,45213
IGA,KOBIETA,41812
CZESŁAWA,KOBIETA,41598
LILIANA,KOBIETA,41300
WŁADYSŁAWA,KOBIETA,41131
MARCELINA,KOBIETA,40543
JAGODA,KOBIETA,39940
ANIELA,KOBIETA,39710
POLA,KOBIETA,39146
NINA,KOBIETA,38860
WIOLETA,KOBIETA,34470
ADRIANNA,KOBIETA,33005
KARINA,KOBIETA,32187
ROKSANA,KOBIETA,31833
DAGMARA,KOBIETA,31637
TETIANA,KOBIETA,30955
NATALIIA,KOBIETA,30944
MALWINA,KOBIETA,29751
SARA,KOBIETA,29636
CECYLIA,KOBIETA,28724
OLENA,KOBIETA,28354
IRYNA,KOBIETA,27787
ŻANETA,KOBIETA,27187
ZDZISŁAWA,KOBIETA,26966
ELIZA,KOBIETA,26864
LEOKADIA,KOBIETA,26337
OKSANA,KOBIETA,25354
RÓŻA,KOBIETA,24546
BRONISŁAWA,KOBIETA,23744
KAJA,KOBIETA,23636
BERNADETA,KOBIETA,23163
EUGENIA,KOBIETA,23136
KLARA,KOBIETA,22956
BLANKA,KOBIETA,22319
SVITLANA,KOBIETA,22164
ANASTAZJA,KOBIETA,22020
JULITA,KOBIETA,21745
OLHA,KOBIETA,21589
ALDONA,KOBIETA,21160
DANIELA,KOBIETA,20543
ROZALIA,KOBIETA,20046
DIANA,KOBIETA,19887
VIOLETTA,KOBIETA,19358
MARIIA,KOBIETA,18421
MAGDA,KOBIETA,18293
LILIANNA,KOBIETA,17921
CELINA,KOBIETA,17901
YULIIA,KOBIETA,17792
HONORATA,KOBIETA,16404
MATYLDA,KOBIETA,16110
VIKTORIIA,KOBIETA,16054
ADRIANA,KOBIETA,15606
PAULA,KOBIETA,15309
ANASTASIIA,KOBIETA,15091
LIUDMYLA,KOBIETA,14773
BRYGIDA,KOBIETA,14762
KATERYNA,KOBIETA,14416
IZABELLA,KOBIETA,14290
GERTRUDA,KOBIETA,13966
AURELIA,KOBIETA,13830
MIECZYSŁAWA,KOBIETA,13750
NELA,KOBIETA,13598
KALINA,KOBIETA,13433
MARIKA,KOBIETA,13080
BOŻENNA,KOBIETA,12962
SONIA,KOBIETA,12623
ELWIRA,KOBIETA,12622
MARZANNA,KOBIETA,12439
HALYNA,KOBIETA,12303
ANDŻELIKA,KOBIETA,11816
OLIVIA,KOBIETA,11494
ARLETA,KOBIETA,11325
MARYNA,KOBIETA,10835
LUIZA,KOBIETA,10383
ADELA,KOBIETA,9997
FRANCISZKA,KOBIETA,9852
VALENTYNA,KOBIETA,9719
JUDYTA,KOBIETA,9694
TATIANA,KOBIETA,9285
NICOLE,KOBIETA,9175
NADIIA,KOBIETA,9143
VICTORIA,KOBIETA,9102
NICOLA,KOBIETA,8940
NATASZA,KOBIETA,8937
ALFREDA,KOBIETA,8835
JOWITA,KOBIETA,8655
TAMARA,KOBIETA,8157
VANESSA,KOBIETA,8096
INNA,KOBIETA,8064
LIWIA,KOBIETA,8013
APOLONIA,KOBIETA,7989
MIA,KOBIETA,7899
ROMANA,KOBIETA,7871
INGA,KOBIETA,7570
JESSICA,KOBIETA,7511
JULIANNA,KOBIETA,7454
LUDWIKA,KOBIETA,7382
MARZENNA,KOBIETA,7366
MELANIA,KOBIETA,7329
LARYSA,KOBIETA,7318
ELEONORA,KOBIETA,7265
ADA,KOBIETA,7160
ESTERA,KOBIETA,7113
WACŁAWA,KOBIETA,6850
ZENONA,KOBIETA,6821
LIUBOV,KOBIETA,6781
BERNADETTA,KOBIETA,6641
BIANKA,KOBIETA,6472
OLEKSANDRA,KOBIETA,6425
YANA,KOBIETA,6373
ELENA,KOBIETA,6348
DONATA,KOBIETA,6150
WALENTYNA,KOBIETA,6120
LUDMIŁA,KOBIETA,6064
ANETTA,KOBIETA,6043
FELICJA,KOBIETA,6017
HILDEGARDA,KOBIETA,6015
ZENOBIA,KOBIETA,5934
ALLA,KOBIETA,5891
ROMUALDA,KOBIETA,5687
OTYLIA,KOBIETA,5460
AMANDA,KOBIETA,5436
GIZELA,KOBIETA,5395
RITA,KOBIETA,5325
IDA,KOBIETA,5311
MAYA,KOBIETA,5293
LILIA,KOBIETA,5132
IRMINA,KOBIETA,5114
LILIIA,KOBIETA,5054
PELAGIA,KOBIETA,4885
SŁAWOMIRA,KOBIETA,4746
ERYKA,KOBIETA,4729
LILLA,KOBIETA,4707
BERNARDA,KOBIETA,4664
SOFIIA,KOBIETA,4622
EMMA,KOBIETA,4608
ALONA,KOBIETA,4483
LONGINA,KOBIETA,4417
TEODOZJA,KOBIETA,4259
WALERIA,KOBIETA,4251
RYSZARDA,KOBIETA,4240
TEODORA,KOBIETA,4149
IVANNA,KOBIETA,3965
MARIANA,KOBIETA,3950
VALERIIA,KOBIETA,3934
ADELAJDA,KOBIETA,3912
VERONIKA,KOBIETA,3855
KAMILLA,KOBIETA,3849
MIRELA,KOBIETA,3834
ALBINA,KOBIETA,3815
GAJA,KOBIETA,3800
SOFIA,KOBIETA,3619
KHRYSTYNA,KOBIETA,3617
FAUSTYNA,KOBIETA,3551
LILA,KOBIETA,3524
ALEXANDRA,KOBIETA,3501
SAMANTA,KOBIETA,3389
OLIMPIA,KOBIETA,3363
ZOJA,KOBIETA,3205
MARYLA,KOBIETA,3201
LESIA,KOBIETA,3183
MARCELA,KOBIETA,3171
ALENA,KOBIETA,3150
LUCJA,KOBIETA,3124
VIKTORIA,KOBIETA,3083
ANGELINA,KOBIETA,3069
ZYTA,KOBIETA,3042
FELIKSA,KOBIETA,2981
VIRA,KOBIETA,2923
OKTAWIA,KOBIETA,2891
LEONARDA,KOBIETA,2884
KSENIA,KOBIETA,2849
KONSTANCJA,KOBIETA,2836
JAGNA,KOBIETA,2824
PAMELA,KOBIETA,2764
WANESSA,KOBIETA,2682
YEVHENIIA,KOBIETA,2679
YELYZAVETA,KOBIETA,2614
NEL,KOBIETA,2609
CLAUDIA,KOBIETA,2548
NOEMI,KOBIETA,2534
BOGNA,KOBIETA,2510
YULIYA,KOBIETA,2503
TATSIANA,KOBIETA,2470
MIRELLA,KOBIETA,2453
ANASTASIYA,KOBIETA,2441
RUSLANA,KOBIETA,2376
SOPHIE,KOBIETA,2357
OLESIA,KOBIETA,2331
INEZ,KOBIETA,2318
BOLESŁAWA,KOBIETA,2310
KRZYSZTOFA,KOBIETA,2305
MARIYA,KOBIETA,2304
EMILY,KOBIETA,2288
NATALLIA,KOBIETA,2257
VOLHA,KOBIETA,2246
NADZIEJA,KOBIETA,2198
EDWARDA,KOBIETA,2188
MARINA,KOBIETA,2184
KATSIARYNA,KOBIETA,2175
KARYNA,KOBIETA,2170
POLINA,KOBIETA,2170
ELFRYDA,KOBIETA,2160
MICHELLE,KOBIETA,2140
NATALIYA,KOBIETA,2140
SALOMEA,KOBIETA,2132
VITA,KOBIETA,2124
STELLA,KOBIETA,2124
IRINA,KOBIETA,2115
OLA,KOBIETA,2104
TOLA,KOBIETA,2092
MARHARYTA,KOBIETA,2074
LIDIIA,KOBIETA,2050
SARAH,KOBIETA,2048
LEA,KOBIETA,2035
ANGELA,KOBIETA,1991
EDELTRAUDA,KOBIETA,1961
MIRIAM,KOBIETA,1891
JAŚMINA,KOBIETA,1884
KRISTINA,KOBIETA,1862
INES,KOBIETA,1856
MYROSLAVA,KOBIETA,1844
ULIANA,KOBIETA,1829
GALYNA,KOBIETA,1817
ZHANNA,KOBIETA,1809
RAISA,KOBIETA,1787
EVA,KOBIETA,1782
NATALIE,KOBIETA,1773
IZA,KOBIETA,1755
ANHELINA,KOBIETA,1739
ANTONIA,KOBIETA,1731
MARIETTA,KOBIETA,1723
ANZHELA,KOBIETA,1717
ARLETTA,KOBIETA,1716
ROMA,KOBIETA,1707
DARYNA,KOBIETA,1693
ANA,KOBIETA,1678
MANUELA,KOBIETA,1675
KLEMENTYNA,KOBIETA,1672
KLAUDYNA,KOBIETA,1643
MILA,KOBIETA,1608
WIERA,KOBIETA,1603
RUTA,KOBIETA,1603
LARA,KOBIETA,1590
DARYA,KOBIETA,1565
HELGA,KOBIETA,1564
KSENIIA,KOBIETA,1530
GRETA,KOBIETA,1530
ALISA,KOBIETA,1528
SOPHIA,KOBIETA,1470
GERDA,KOBIETA,1469
MARYIA,KOBIETA,1458
IULIIA,KOBIETA,1432
ANDREA,KOBIETA,1432
ANASTASIA,KOBIETA,1418
FLORENTYNA,KOBIETA,1418
MARTINA,KOBIETA,1398
LIVIA,KOBIETA,1385
DOBROSŁAWA,KOBIETA,1369
VERONICA,KOBIETA,1358
SVIATLANA,KOBIETA,1352
EULALIA,KOBIETA,1347
IRMGARDA,KOBIETA,1340
TETYANA,KOBIETA,1336
DARIIA,KOBIETA,1329
BERNARDYNA,KOBIETA,1314
ERIKA,KOBIETA,1309
JAROSŁAWA,KOBIETA,1305
ALA,KOBIETA,1288
TEOFILA,KOBIETA,1274
MALINA,KOBIETA,1254
GLORIA,KOBIETA,1250
VIKTORYIA,KOBIETA,1246
LINDA,KOBIETA,1244
NIKOL,KOBIETA,1244
NICOL,KOBIETA,1237
ZINAIDA,KOBIETA,1236
ISABELLA,KOBIETA,1236
GANNA,KOBIETA,1231
JENNIFER,KOBIETA,1225
ERNA,KOBIETA,1224
SVETLANA,KOBIETA,1218
WANESA,KOBIETA,1213
MILANA,KOBIETA,1212
GALINA,KOBIETA,1208
